province,return_period,original_fit_rr,rr_bootstrap_median,rr_lower_95,rr_upper_95,rr_valid_bootstraps,original_fit_ric,ric_bootstrap_median,ric_lower_95,ric_upper_95,ric_valid_bootstraps
Guizhou Province,10.959514440208048,1.6772881332553586,1.692707792320602,1.2101296576680831,2.612070562502533,1000,-19.314920537514684,-19.615704123349232,-30.22691895472,-8.064852515996275,1000
Guizhou Province,11.114944336866362,1.684123890335858,1.6995350879269133,1.2141732587098057,2.6336992266854553,1000,-19.25556122107345,-19.59052388911487,-30.132992444359655,-8.0753807550304,1000
Guizhou Province,11.272578569575057,1.6910342532459404,1.7041609348307902,1.2158559597683378,2.650662314609651,1000,-19.197873787805783,-19.52515690144034,-30.04889873881578,-8.087462250649386,1000
Guizhou Province,11.432448400642912,1.69801983105604,1.7122915248473702,1.2166399411010815,2.667764978648312,1000,-19.141811679968693,-19.446463179226235,-29.971958330210605,-8.098156819870422,1000
Guizhou Province,11.594585535746647,1.7050812402438547,1.7219574958447987,1.2174766157010581,2.686067800510056,1000,-19.087329927421,-19.37783627943955,-29.896060606258157,-8.045995235519717,1000
Guizhou Province,11.75902213021888,1.7122191047886972,1.728830633318463,1.2200810809504725,2.7116476233859963,1000,-19.034385082275456,-19.310034244636217,-29.822066559620218,-7.997686900356436,1000
Guizhou Province,11.925790795425188,1.7194340562662151,1.7358691045949868,1.2211894632623905,2.737681879883825,1000,-18.982935156716284,-19.23701360959772,-29.74992560567932,-8.015542984208404,1000
Guizhou Province,12.094924605231677,1.7267267339437904,1.7428476021033177,1.2223192365695554,2.764144982600999,1000,-18.932939563806485,-19.168935279273484,-29.67958881710683,-8.03400629287567,1000
Guizhou Province,12.266457102564248,1.7340977848768344,1.7499339437229295,1.2234761774755354,2.791044378740892,1000,-18.884359061119135,-19.10235961868265,-29.62388637480943,-8.053054847679132,1000
Guizhou Province,12.440422306060885,1.7415478640054702,1.7555765323136847,1.224673768312154,2.8150971244791987,1000,-18.83715569703701,-19.018273155044106,-29.585183671119,-8.072667472959195,1000
Guizhou Province,12.61685471681832,1.7490776342521945,1.7618027008313417,1.2258932987273468,2.8349992131196013,1000,-18.79129275957595,-18.961286749736715,-29.50999864405338,-8.052124822408432,1000
