province,return_period,factual_original,factual_bootstrap_median,factual_lower_95,factual_upper_95,factual_valid_bootstraps,counterfactual_original,counterfactual_bootstrap_median,counterfactual_lower_95,counterfactual_upper_95,counterfactual_valid_bootstraps
Chongqing Municipality,378.4243165804564,-1.7503155460799216,-1.740166449003985,-1.902227697843659,-1.578214568187909,1000,-1.5861496181143098,-1.5787537294014082,-1.7432198190914967,-1.4423399952394895,1000
Chongqing Municipality,387.2516415753082,-1.7549952703564884,-1.7446536170060327,-1.907333702516711,-1.5817240251764553,1000,-1.590239388460707,-1.5828073024039866,-1.7479473748374945,-1.446005626570774,1000
Chongqing Municipality,396.28487740397935,-1.7596655498664742,-1.7491536505466896,-1.9124297779375656,-1.585224187062994,1000,-1.5943196179179882,-1.5869415963708615,-1.7526640569508491,-1.4496396564027874,1000
Chongqing Municipality,405.52882725107173,-1.7643264422851703,-1.7537365546703931,-1.9175159839836629,-1.5887151175956076,1000,-1.5983903683001148,-1.5909846924452835,-1.7573662769684748,-1.4531538064017715,1000
Chongqing Municipality,414.9884063428008,-1.7689780047082704,-1.758463848916856,-1.9226309940819937,-1.5921968798296948,1000,-1.602451700775022,-1.594985662803528,-1.7620590325874026,-1.4566588424027178,1000
Chongqing Municipality,424.66864456053884,-1.77362029365994,-1.7631731086633418,-1.9279222554881237,-1.595669536138193,1000,-1.6065036758738795,-1.5992061853089372,-1.7667423812684073,-1.460154826045844,1000
Chongqing Municipality,434.5746891153213,-1.7782533651007397,-1.76789013152178,-1.9332039515953119,-1.599133148221619,1000,-1.6105463535001816,-1.603321380412266,-1.7714163798985236,-1.463338125215423,1000
Chongqing Municipality,444.71180728474013,-1.7828772744354118,-1.7725648799497806,-1.938475393962108,-1.6025877771179162,1000,-1.614579792938673,-1.6073125233255237,-1.7763094960864687,-1.4668187710633525,1000
Chongqing Municipality,455.0853892136792,-1.787492076520525,-1.7772474965138216,-1.9437341256879441,-1.6063028659522862,1000,-1.6186040528641163,-1.6114739200266799,-1.781572096049184,-1.470336981085503,1000
Chongqing Municipality,465.70095078038344,-1.7920978256719928,-1.7819213361877793,-1.9489834651138536,-1.61014037290851,1000,-1.6226191913499002,-1.615538864112093,-1.7868256766293245,-1.473479985176953,1000
Chongqing Municipality,476.56413652937835,-1.7966945756724506,-1.7867045114497222,-1.9542234661067732,-1.6139690463900032,1000,-1.6266252658764935,-1.6194535787664102,-1.7920849046593121,-1.4764413003957957,1000
Chongqing Municipality,487.6807226728096,-1.8012823797785118,-1.791227363796137,-1.9598233552829007,-1.6177889423215026,1000,-1.6306223333397474,-1.623440059475463,-1.7973420682708074,-1.4793939498601913,1000
Chongqing Municipality,499.05662016179105,-1.805861290727897,-1.7958012076524708,-1.9654580396656625,-1.6216001160578193,1000,-1.6346104500590568,-1.6274227011399636,-1.8025903881289977,-1.4823379948619542,1000
Chongqing Municipality,510.69787782939613,-1.8104313607464348,-1.800348437721266,-1.9710842130921524,-1.625307098767028,1000,-1.6385896717853679,-1.6313023912938496,-1.8078209555981928,-1.4853369181256464,1000
Chongqing Municipality,522.6106856069655,-1.814992641554952,-1.8047931987311512,-1.9767019211809156,-1.6284036882214532,1000,-1.6425600537090541,-1.6351730956,-1.8130364733815252,-1.488390206980275,1000
Chongqing Municipality,534.8013778154409,-1.8195451843760353,-1.8092647474357528,-1.9823112091348967,-1.6314916535105735,1000,-1.646521650467646,-1.639034870619093,-1.8182432737398073,-1.4914351864101596,1000
Chongqing Municipality,547.2764365334706,-1.8240890399406842,-1.8139208573041397,-1.9879121217467657,-1.6348315664828899,1000,-1.6504745161534318,-1.6428877723403448,-1.8231369290743162,-1.4944719126736332,1000
Chongqing Municipality,560.042495044085,-1.8286242584948469,-1.8184345500237185,-1.9935047034041593,-1.6387082794883767,1000,-1.6544187043209222,-1.6467318561894073,-1.8280109310814425,-1.4975004414317443,1000
Chongqing Municipality,573.1063413617694,-1.8331508898058484,-1.8228623258672645,-1.99908899809483,-1.6425771299904912,1000,-1.6583542679941872,-1.6505671770361316,-1.8328762964101921,-1.5005208277568298,1000
Chongqing Municipality,586.4749218418111,-1.837668983168707,-1.8272569100782134,-2.004665049411718,-1.6464381644273365,1000,-1.6622812596740655,-1.6544741525052737,-1.8377330734108759,-1.5035331261409284,1000
