Province,Return_period,RR_bootstrap_median,RR_lower_95,RR_upper_95,RIC_bootstrap_median,RIC_lower_95,RIC_upper_95
Sichuan Province,45.4469959685202,1593.8797827318444,82.80535077437001,1000000.0,62.584745111738876,53.112686922288084,74.95281397147468
Sichuan Province,46.09153381965914,1616.8689245923817,82.88838045148425,1000000.0,62.53434649449543,53.026854837999814,74.92734861305482
Sichuan Province,46.745212627921816,1640.1835068375472,82.9688574513772,1000000.0,62.481566218649526,52.9448478199377,74.90112724661924
Sichuan Province,47.4081620320827,1668.4194662746024,83.04678209841201,1000000.0,62.43604437056071,52.86362714908752,74.87465931903397
Sichuan Province,48.08051350947784,1700.4222543716228,83.12215491172944,1000000.0,62.383364707404766,52.780856921457094,74.84826892988657
Sichuan Province,48.76240040207953,1733.086935256872,83.19497660481653,1000000.0,62.28813384421075,52.690667349681156,74.82195557619822
Sichuan Province,49.45395794294104,1766.4285817010293,83.26524808504148,1000000.0,62.229680439756464,52.57865663055014,74.81444641349448
Sichuan Province,50.15532328301627,1800.4626467083312,83.33297045316998,1000000.0,62.17928834789958,52.466787231823155,74.82994353863027
Sichuan Province,50.86663551835972,1833.7504780892664,83.3981450028532,1000000.0,62.13206479758996,52.35649902483052,74.82136095525884
Sichuan Province,51.588035717712415,1865.1384848060184,83.46077322008887,1000000.0,62.08999645583316,52.25353864929088,74.7900397739701
Sichuan Province,52.31966695047871,1897.0737896507826,83.52085678266123,1000000.0,62.0400446111716,52.131506011505294,74.75877330106151
Sichuan Province,53.061674315100234,1929.5662647098434,83.57839755955504,1000000.0,61.98178911592541,52.01994683174959,74.7275612609908
Sichuan Province,53.81420496783201,1962.6259667355798,83.63339761034396,1000000.0,61.91323886540269,51.918861916240814,74.6964033811891
Sichuan Province,54.57740815192676,1996.26314073284,83.68585918455724,1000000.0,61.84206860679825,51.812133213181724,74.66529939201781
Sichuan Province,55.35143522723317,2030.4882236176938,83.7357847210163,1000000.0,61.77300181096358,51.68623681756452,74.63424902672593
Sichuan Province,56.136439700213714,2065.3118479502273,83.78317684715536,1000000.0,61.72688212293319,51.57488005995125,74.6032520214081
